,ID,state.x,gov_type,county,unit,auto,year,flag,revenueitems,number,revenueitems_final,state.y,jrsd_type,cnty,etc,jrdsct_name,unknown,name,name1,name2,name3,name4,name5,name6,name7
80,55049020,5,5,49,20,0,2012,R,4269,8,4269000,5,5,49,2000000,FORESTVILLE ELEM SCH DIST                                       ,6097,FORESTVILLE ELEM SCH DIST                                       ,FORESTVILLE,ELEMENTARY,SCHOOL,DISTRICT,,,
97,55049027,5,5,49,27,0,2012,R,2897,9,2897000,5,5,49,2700000,GUERNEVILLE ELEM SCH DIST                                       ,6097,GUERNEVILLE ELEM SCH DIST                                       ,GUERNEVILLE,ELEMENTARY,SCHOOL,DISTRICT,,,
113,55049031,5,5,49,31,0,2012,R,1790,8,1790000,5,5,49,3100000,HORICON ELEM SCH DIST                                           ,6097,HORICON ELEM SCH DIST                                           ,HORICON,ELEMENTARY,SCHOOL,DISTRICT,,,
123,55041009,5,5,41,9,0,2012,R,17919,9,17919000,5,5,41,900000,JEFFERSON ELEM SCH DIST                                         ,6081,JEFFERSON ELEM SCH DIST                                         ,JEFFERSON,ELEMENTARY,SCHOOL,DISTRICT,,,
164,55021005,5,5,21,5,0,2012,R,14478,7,14478000,5,5,21,500000,KENTFIELD ELEM SCH DIST                                         ,6041,KENTFIELD ELEM SCH DIST                                         ,KENTFIELD,ELEMENTARY,SCHOOL,DISTRICT,,,
178,55007013,5,5,7,13,0,2012,R,4316,7,4316000,5,5,7,1300000,KNIGHTSEN ELEM SCH DIST                                         ,6013,KNIGHTSEN ELEM SCH DIST                                         ,KNIGHTSEN,ELEMENTARY,SCHOOL,DISTRICT,,,
72,55007014,5,5,7,14,0,2012,R,30584,8,30584000,5,5,7,1400000,LAFAYETTE ELEM SCH DIST                                         ,6013,LAFAYETTE ELEM SCH DIST                                         ,LAFAYETTE,ELEMENTARY,SCHOOL,DISTRICT,,,
172,55021007,5,5,21,7,0,2012,R,3692,8,3692000,5,5,21,700000,LAGUNITAS ELEM SCH DIST                                         ,6041,LAGUNITAS ELEM SCH DIST                                         ,LAGUNITAS,ELEMENTARY,SCHOOL,DISTRICT,,,
140,55049036,5,5,49,36,0,2012,R,6092,8,6092000,5,5,49,3600000,LIBERTY ELEM SCH DIST                                           ,6097,LIBERTY ELEM SCH DIST                                           ,LIBERTY,ELEMENTARY,SCHOOL,DISTRICT,,,
44,55021009,5,5,21,9,0,2012,R,204,5,204000,5,5,21,900000,LINCOLN ELEM SCH DIST                                           ,6041,LINCOLN ELEM SCH DIST                                           ,LINCOLN,ELEMENTARY,SCHOOL,DISTRICT,,,
31,55049040,5,5,49,40,0,2012,R,587,5,587000,5,5,49,4000000,MONTGOMERY ELEM SCH DIST                                        ,6097,MONTGOMERY ELEM SCH DIST                                        ,MONTGOMERY,ELEMENTARY,SCHOOL,DISTRICT,,,
144,55049050,5,5,49,50,0,2012,R,257,6,257000,5,5,49,5000000,RESERVATION ELEM SCH DIST                                       ,6097,RESERVATION ELEM SCH DIST                                       ,RESERVATION,ELEMENTARY,SCHOOL,DISTRICT,,,
5,55021017,5,5,21,17,0,2012,R,6874,7,6874000,5,5,21,1700000,ROSS ELEM SCH DIST                                              ,6041,ROSS ELEM SCH DIST                                              ,ROSS,ELEMENTARY,SCHOOL,DISTRICT,,,
8,55043048,5,5,43,48,0,2012,R,45673,9,45673000,5,5,43,4800000,UNION ELEM SCH DIST                                             ,6085,UNION ELEM SCH DIST                                             ,UNION,ELEMENTARY,SCHOOL,DISTRICT,,,
9,55049067,5,5,49,67,0,2012,R,7881,8,7881000,5,5,49,6700000,WAUGH ELEM SCH DIST                                             ,6097,WAUGH ELEM SCH DIST                                             ,WAUGH,ELEMENTARY,SCHOOL,DISTRICT,,,
18,55049072,5,5,49,72,0,2012,R,13954,8,13954000,5,5,49,7200000,WRIGHT ELEM SCH DIST                                            ,6097,WRIGHT ELEM SCH DIST                                            ,WRIGHT,ELEMENTARY,SCHOOL,DISTRICT,,,
21,55043037,5,5,43,37,0,2012,R,11236,8,11236000,5,5,43,3700000,ORCHARD ELEMENTARY SCH DIST                                     ,6085,ORCHARD ELEMENTARY SCH DIST                                     ,ORCHARD,ELEMENTARY,SCHOOL,DISTRICT,,,
54,55049021,5,5,49,21,0,2012,R,516,7,516000,5,5,49,2100000,FORT ROSS SCH DIST                                              ,6097,FORT ROSS SCH DIST                                              ,FORT,ROSS,SCHOOL,DISTRICT,,,
149,55041006,5,5,41,6,0,2012,R,9800,8,9800000,5,5,41,600000,WOODSIDE ELEM SCHOOL DISTRICT                                   ,6081,WOODSIDE ELEM SCHOOL DISTRICT                                   ,WOODSIDE,ELEMENTARY,SCHOOL,DISTRICT,,,
1,55041003,5,5,41,3,0,2012,R,6759,9,6759000,5,5,41,300000,BRISBANE ELEMENTARY SCHOOL DISTRICT                             ,6081,BRISBANE ELEMENTARY SCHOOL DISTRICT                             ,BRISBANE,ELEMENTARY,SCHOOL,DISTRICT,,,
3,55041015,5,5,41,15,0,2012,R,29515,8,29515000,5,5,41,1500000,MILLBRAE ELEMENTARY SCHOOL DISTRICT                             ,6081,MILLBRAE ELEMENTARY SCHOOL DISTRICT                             ,MILLBRAE,ELEMENTARY,SCHOOL,DISTRICT,,,
6,55043020,5,5,43,20,0,2012,R,1586,9,1586000,5,5,43,2000000,LAKESIDE JT SCHOOL DISTRICT                                     ,6085,LAKESIDE JT SCHOOL DISTRICT                                     ,LAKESIDE,JT,SCHOOL,DISTRICT,,,
11,55049302,5,5,49,302,0,2012,R,8132,6,8132000,5,5,49,30200000,WEST COUNTY TRANSPORTATION JPA                                  ,6097,WEST COUNTY TRANSPORTATION JPA                                  ,WEST,COUNTY,TRANSPORTATION,JPA,,,
26,55001103,5,5,1,103,0,2012,R,7670,5,7670000,5,5,1,10300000,EDEN AREA ROP JPA                                               ,6001,EDEN AREA ROP JPA                                               ,EDEN,AREA,ROP,JPA,,,
35,55043014,5,5,43,14,0,2012,R,93318,9,93318000,5,5,43,1400000,FRANKLIN MCKINLEY ELEMENTARY SCH                                ,6085,FRANKLIN MCKINLEY ELEMENTARY SCH                                ,FRANKLIN,MCKINLEY,ELEMENTARY,SCHOOL,,,
40,55043027,5,5,43,27,0,2012,R,5532,5,5532000,5,5,43,2700000,LUTHER BURBANK ELEM SCH                                         ,6085,LUTHER BURBANK ELEM SCH                                         ,LUTHER,BURBANK,ELEMENTARY,SCHOOL,,,
61,55001023,5,5,1,23,0,2012,R,552,6,552000,5,5,1,2300000,MOUNTAIN HOUSE ELEM SCH                                         ,6001,MOUNTAIN HOUSE ELEM SCH                                         ,MOUNTAIN,HOUSE,ELEMENTARY,SCHOOL,,,
75,55049046,5,5,49,46,0,2012,R,77807,11,77807000,5,5,49,4600000,PETALUMA CITY SCHOOLS                                           ,6097,PETALUMA CITY SCHOOLS                                           ,PETALUMA,CITY,SCHOOLS,,,,
105,55043104,5,5,43,104,0,2012,R,19769,8,19769000,5,5,43,10400000,METROPOLITAN EDUCATION JPA                                      ,6085,METROPOLITAN EDUCATION JPA                                      ,METROPOLITAN,EDUCATION,JPA,,,,
112,55001101,5,5,1,101,0,2012,R,4765,5,4765000,5,5,1,10100000,TRI-VALLEY ROP JPA                                              ,6001,TRI-VALLEY ROP JPA                                              ,TRI-VALLEY,ROP,JPA,,,,
132,55007005,5,5,7,5,0,2012,R,66669,9,66669000,5,5,7,500000,BRENTWOOD SCHOOL DISTRICT                                       ,6013,BRENTWOOD SCHOOL DISTRICT                                       ,BRENTWOOD,SCHOOL,DISTRICT,,,,
133,55043007,5,5,43,7,0,2012,R,27412,9,27412000,5,5,43,700000,CAMBRIAN SCHOOL DISTRICT                                        ,6085,CAMBRIAN SCHOOL DISTRICT                                        ,CAMBRIAN,SCHOOL,DISTRICT,,,,
135,55049501,5,5,49,501,0,2012,R,2354,7,2354000,5,5,49,50100000,KENWOOD SCHOOL DISTRICT                                         ,6097,KENWOOD SCHOOL DISTRICT                                         ,KENWOOD,SCHOOL,DISTRICT,,,,
137,55021008,5,5,21,8,0,2012,R,16562,8,16562000,5,5,21,800000,LARKSPUR-COLE-MADERA SCHOOL DISTRICT                            ,6041,LARKSPUR-COLE-MADERA SCHOOL DISTRICT                            ,LARKSPUR-COLE-MADERA,SCHOOL,DISTRICT,,,,
174,55007018,5,5,7,18,0,2012,R,17974,9,17974000,5,5,7,1800000,MORAGA SCHOOL DISTRICT                                          ,6013,MORAGA SCHOOL DISTRICT                                          ,MORAGA,SCHOOL,DISTRICT,,,,
176,55043031,5,5,43,31,0,2012,R,52153,10,52153000,5,5,43,3100000,MORELAND SCHOOL DISTRICT                                        ,6085,MORELAND SCHOOL DISTRICT                                        ,MORELAND,SCHOOL,DISTRICT,,,,
25,55021013,5,5,21,13,0,2012,R,1135,6,1135000,5,5,21,1300000,NICASIO SCHOOL DISTRICT                                         ,6041,NICASIO SCHOOL DISTRICT                                         ,NICASIO,SCHOOL,DISTRICT,,,,
28,55041011,5,5,41,11,0,2012,R,39088,9,39088000,5,5,41,1100000,PACIFICA SCHOOL DISTRICT                                        ,6081,PACIFICA SCHOOL DISTRICT                                        ,PACIFICA,SCHOOL,DISTRICT,,,,
34,55049053,5,5,49,53,0,2012,R,27491,9,27491000,5,5,49,5300000,ROSELAND SCHOOL DISTRICT                                        ,6097,ROSELAND SCHOOL DISTRICT                                        ,ROSELAND,SCHOOL,DISTRICT,,,,
38,55043046,5,5,43,46,0,2012,R,69923,10,69923000,5,5,43,4600000,SUNNYVALE SCHOOL DISTRICT                                       ,6085,SUNNYVALE SCHOOL DISTRICT                                       ,SUNNYVALE,SCHOOL,DISTRICT,,,,
39,55043701,5,5,43,701,0,2012,R,41509,6,41509000,5,5,43,70100000,GAVILAN COMMUNITY COLLEGE DISTRICT                              ,6085,GAVILAN COMMUNITY COLLEGE DISTRICT                              ,GAVILAN,COMMUNITY,COLLEGE,DISTRICT,,,
55,55021010,5,5,21,10,0,2012,R,100215,7,100215000,5,5,21,1000000,MARIN COMMUNITY COLLEGE DISTRICT                                ,6041,MARIN COMMUNITY COLLEGE DISTRICT                                ,MARIN,COMMUNITY,COLLEGE,DISTRICT,,,
60,55001704,5,5,1,704,0,2012,R,62571,8,62571000,5,5,1,70400000,OHLONE COMMUNITY COLLEGE DISTRICT                               ,6001,OHLONE COMMUNITY COLLEGE DISTRICT                               ,OHLONE,COMMUNITY,COLLEGE,DISTRICT,,,
79,55001701,5,5,1,701,0,2012,R,150210,3,150210000,5,5,1,70100000,PERALTA COMMUNITY COLLEGE DISTRICT                              ,6001,PERALTA COMMUNITY COLLEGE DISTRICT                              ,PERALTA,COMMUNITY,COLLEGE,DISTRICT,,,
93,55021022,5,5,21,22,0,2012,R,84214,11,84214000,5,5,21,2200000,SAN RAFAEL CITY SCHOOLS                                         ,6041,SAN RAFAEL CITY SCHOOLS                                         ,SAN,RAFAEL,CITY,SCHOOLS,,,
96,55049054,5,5,49,54,0,2012,R,158890,10,158890000,5,5,49,5400000,SANTA ROSA CITY SCHOOLS                                         ,6097,SANTA ROSA CITY SCHOOLS                                         ,SANTA,ROSA,CITY,SCHOOLS,,,
98,55049012,5,5,49,12,0,2012,R,13317,9,13317000,5,5,49,1200000,CLOVERDALE UN SCH DIST                                          ,6097,CLOVERDALE UN SCH DIST                                          ,CLOVERDALE,UNIFIED,SCHOOL,DISTRICT,,,
99,55001010,5,5,1,10,0,2012,R,13508,9,13508000,5,5,1,1000000,EMERY UNI SCH DIST                                              ,6001,EMERY UNI SCH DIST                                              ,EMERY,UNIFIED,SCHOOL,DISTRICT,,,
100,55001025,5,5,1,25,0,2012,R,61196,9,61196000,5,5,1,2500000,NEWARK UNIF SCH DIST                                            ,6001,NEWARK UNIF SCH DIST                                            ,NEWARK,UNIFIED,SCHOOL,DISTRICT,,,
101,55001027,5,5,1,27,0,2012,R,548811,10,548811000,5,5,1,2700000,OAKLAND UNIF SCH DIST                                           ,6001,OAKLAND UNIF SCH DIST                                           ,OAKLAND,UNIFIED,SCHOOL,DISTRICT,,,
104,55001401,5,5,1,401,0,2012,R,72502,10,72502000,5,5,1,40100000,DUBLIN UNIF SCH DISTRICT                                        ,6001,DUBLIN UNIF SCH DISTRICT                                        ,DUBLIN,UNIFIED,SCHOOL,DISTRICT,,,
122,55001702,5,5,1,702,0,2012,R,296341,11,296341000,5,5,1,70200000,FREMONT UNIF SCHOOL DIST                                        ,6001,FREMONT UNIF SCHOOL DIST                                        ,FREMONT,UNIFIED,SCHOOL,DISTRICT,,,
141,55021014,5,5,21,14,0,2012,R,92776,10,92776000,5,5,21,1400000,NOVATO UNIF SCH DIST                                            ,6041,NOVATO UNIF SCH DIST                                            ,NOVATO,UNIFIED,SCHOOL,DISTRICT,,,
150,55049022,5,5,49,22,0,2012,R,3616,7,3616000,5,5,49,2200000,GEYSERVILLE UNIF SCH DIST                                       ,6097,GEYSERVILLE UNIF SCH DIST                                       ,GEYSERVILLE,UNIFIED,SCHOOL,DISTRICT,,,
152,55001001,5,5,1,1,0,2012,R,100258,11,100258000,5,5,1,100000,ALAMEDA UNIFIED SCH DIST                                        ,6001,ALAMEDA UNIFIED SCH DIST                                        ,ALAMEDA,UNIFIED,SCHOOL,DISTRICT,,,
167,55001006,5,5,1,6,0,2012,R,150434,11,150434000,5,5,1,600000,BERKELEY UNIFIED SCH DIST                                       ,6001,BERKELEY UNIFIED SCH DIST                                       ,BERKELEY,UNIFIED,SCHOOL,DISTRICT,,,
173,55001012,5,5,1,12,0,2012,R,211140,11,211140000,5,5,1,1200000,HAYWARD UNIFIED SCHOOL DISTRICT                                 ,6001,HAYWARD UNIFIED SCHOOL DISTRICT                                 ,HAYWARD,UNIFIED,SCHOOL,DISTRICT,,,
4,55001030,5,5,1,30,0,2012,R,158888,8,158888000,5,5,1,3000000,PLEASANTON UNIFIED SCH DIST                                     ,6001,PLEASANTON UNIFIED SCH DIST                                     ,PLEASANTON,UNIFIED,SCHOOL,DISTRICT,,,
85,55007004,5,5,7,4,0,2012,R,150640,10,150640000,5,5,7,400000,ANTIOCH UNIFIED SCH DIST                                        ,6013,ANTIOCH UNIFIED SCH DIST                                        ,ANTIOCH,UNIFIED,SCHOOL,DISTRICT,,,
139,55007017,5,5,7,17,0,2012,R,38549,10,38549000,5,5,7,1700000,MARTINEZ UNIFIED SCHOOL DISTRICT                                ,6013,MARTINEZ UNIFIED SCHOOL DISTRICT                                ,MARTINEZ,UNIFIED,SCHOOL,DISTRICT,,,
17,55007023,5,5,7,23,0,2012,R,168761,10,168761000,5,5,7,2300000,PITTSBURG UNIFIED SCHOOL DISTRICT                               ,6013,PITTSBURG UNIFIED SCHOOL DISTRICT                               ,PITTSBURG,UNIFIED,SCHOOL,DISTRICT,,,
24,55021026,5,5,21,26,0,2012,R,13459,10,13459000,5,5,21,2600000,SHORELINE UNIFIED SCH DIST                                      ,6041,SHORELINE UNIFIED SCH DIST                                      ,SHORELINE,UNIFIED,SCHOOL,DISTRICT,,,
52,55041005,5,5,41,5,0,2012,R,32715,8,32715000,5,5,41,500000,CABRILLO UNIFIED SCHOOL DISTRICT                                ,6081,CABRILLO UNIFIED SCHOOL DISTRICT                                ,CABRILLO,UNIFIED,SCHOOL,DISTRICT,,,
57,55043016,5,5,43,16,0,2012,R,113663,8,113663000,5,5,43,1600000,GILROY UNIFIED SCHOOL DISTRICT                                  ,6085,GILROY UNIFIED SCHOOL DISTRICT                                  ,GILROY,UNIFIED,SCHOOL,DISTRICT,,,
65,55043029,5,5,43,29,0,2012,R,89261,10,89261000,5,5,43,2900000,MILPITAS UNIFIED SCH DIST                                       ,6085,MILPITAS UNIFIED SCH DIST                                       ,MILPITAS,UNIFIED,SCHOOL,DISTRICT,,,
66,55048002,5,5,48,2,0,2012,R,40036,8,40036000,5,5,48,200000,BENICIA UNIFIED SCH DIST                                        ,6095,BENICIA UNIFIED SCH DIST                                        ,BENICIA,UNIFIED,SCHOOL,DISTRICT,,,
68,55048007,5,5,48,7,0,2012,R,32100,8,32100000,5,5,48,700000,DIXON UNIFIED SCH DIST                                          ,6095,DIXON UNIFIED SCH DIST                                          ,DIXON,UNIFIED,SCHOOL,DISTRICT,,,
126,55048023,5,5,48,23,0,2012,R,99204,9,99204000,5,5,48,2300000,VACAVILLE UNIFIED SCHOOL DISTRICT                               ,6095,VACAVILLE UNIFIED SCHOOL DISTRICT                               ,VACAVILLE,UNIFIED,SCHOOL,DISTRICT,,,
142,55048701,5,5,48,701,0,2012,R,43444,11,43444000,5,5,48,70100000,TRAVIS UNIFIED SCHOOL DISTRICT                                  ,6095,TRAVIS UNIFIED SCHOOL DISTRICT                                  ,TRAVIS,UNIFIED,SCHOOL,DISTRICT,,,
163,55049071,5,5,49,71,0,2012,R,52732,9,52732000,5,5,49,7100000,WINDSOR UNIFIED SCHOOL DISTRICT                                 ,6097,WINDSOR UNIFIED SCHOOL DISTRICT                                 ,WINDSOR,UNIFIED,SCHOOL,DISTRICT,,,
168,55049301,5,5,49,301,0,2012,R,23653,10,23653000,5,5,49,30100000,HEALDSBURG UNIFIED SCHOOL DISTRICT                              ,6097,HEALDSBURG UNIFIED SCHOOL DISTRICT                              ,HEALDSBURG,UNIFIED,SCHOOL,DISTRICT,,,
129,55043008,5,5,43,8,0,2012,R,79769,9,79769000,5,5,43,800000,CAMPBELL UNION SCHOOL DISTRICT                                  ,6085,CAMPBELL UNION SCHOOL DISTRICT                                  ,CAMPBELL,UNION,SCHOOL,DISTRICT,,,
114,55049024,5,5,49,24,0,2012,R,5180,7,5180000,5,5,49,2400000,GRAVENSTEIN UNION SCH DIST                                      ,6097,GRAVENSTEIN UNION SCH DIST                                      ,GRAVENSTEIN,UNION,SCHOOL,DISTRICT,,,
115,55001104,5,5,1,104,0,2012,R,7208,5,7208000,5,5,1,10400000,MISSION VALLEY ROC/P JPA                                        ,6001,MISSION VALLEY ROC/P JPA                                        ,MISSION,VALLEY,ROC/P,JPA,,,
155,55021018,5,5,21,18,0,2012,R,26729,8,26729000,5,5,21,1800000,ROSS VALLEY SCHOOL DISTRICT                                     ,6041,ROSS VALLEY SCHOOL DISTRICT                                     ,ROSS,VALLEY,SCHOOL,DISTRICT,,,
